solution_id,solution_short_name,solution_short_desc,submission_languages,ecosystem_restoration_verification,alternative_credit_scoring,generative_grant_proposal_writing,predictive_infrastructure_maintenance,multilingual_advisory_chatbots,pest_disease_outbreak_prediction,renewable_grid_load_balancing,hyper_local_weather_hazard_forecasting,precision_agriculture_advisory,infrastructure_integrity_monitoring,automated_impact_reporting_viz,groundwater_resource_forecasting,scalability_replication_modeling,long_term_climate_suitability_modeling,automated_land_use_cover_change_detection,digital_mrv_measurement_reporting_verif,personalized_behavioral_nudging,adaptive_learning_training_platforms,vulnerability_equity_targeting,supply_chain_logistics_optimization,voice_first_community_sentiment_analysis,stakeholder_donor_matching,knowledge_synthesis_retrieval,biodiversity_bio_acoustics_id
,,,,Ecosystem Restoration Verification,Alternative Credit Scoring,Generative Grant & Proposal Writing,Predictive Infrastructure Maintenance,Multilingual Advisory Chatbots,Pest & Disease Outbreak Prediction,Renewable Grid Load Balancing,Hyper-local Weather & Hazard Forecasting,Precision Agriculture Advisory,Infrastructure Integrity Monitoring,Automated Impact Reporting & Viz,Groundwater & Resource Forecasting,Scalability & Replication Modeling,Long-term Climate Suitability Modeling,Automated Land Use/Cover Change Detection,"Digital MRV (Measurement, Reporting, Verif.)",Personalized Behavioral Nudging,Adaptive Learning/Training Platforms,Vulnerability & Equity Targeting,Supply Chain & Logistics Optimization,Voice-First Community Sentiment Analysis,Stakeholder & Donor Matching,Knowledge Synthesis & Retrieval,Biodiversity Bio-Acoustics & ID
,,,,[Example of a short description of that capability],,,,,,,,,,,,,,,,,,,,,,,
,,,,[Example of a description of a comparative example of that capability],,,,,,,,,,,,,,,,,,,,,,,
,,,,[Example of a URL pointing to more information on a comparative example of that capability],,,,,,,,,,,,,,,,,,,,,,,
508,YE-LA CHOCOLATE DE LA SELVA,,,0.052884278,0.048954547,0.035267093,0.051093004,0.065608405,0.067677518,0.060220732,0.092319785,0.101122696,0.102483257,0.094085261,0.075942059,0.081172342,0.316156076,0.135207696,0.120109739,0.102059209,0.116128986,0.129265098,0.13300909,0.129525167,0.133867024,0.146895261,0.25647037
1005,Tanzania Toilets Revolution and Environment Preservation Organization (TTREPO),,,0.065496147,0.039464482,0.038299195,0.088302675,0.073028076,0.072786004,0.075910611,0.091066582,0.092385157,0.11502101,0.091328269,0.110694368,0.256859144,0.105598733,0.102914498,0.124442734,0.103680415,0.127239755,0.152587425,0.149593716,0.129270227,0.146106126,0.139057236,0.159598
809,Falls Brook Centre,,,0.221115176,0.048047318,0.056972868,0.068718217,0.07874309,0.07612755,0.0952989,0.140658775,0.120337861,0.132476122,0.116449599,0.107650893,0.111422818,0.148735626,0.156179623,0.167465698,0.128450682,0.140875235,0.166504872,0.173604461,0.200514432,0.187574367,0.19114547,0.220287739
958,Sankandi Youth Development Association,,,0.188829664,0.067847656,0.058116845,0.052749503,0.075928944,0.077933693,0.079169785,0.114237024,0.121984964,0.114156821,0.119783634,0.09313708,0.09764485,0.138434424,0.12794377,0.167175801,0.112828169,0.139417917,0.153184962,0.149260262,0.180979294,0.158175861,0.176112856,0.216832097
191,AALAMARAM,,,0.170365173,0.043435743,0.040090509,0.062028924,0.084351655,0.089571591,0.072358446,0.134820195,0.118382912,0.115583566,0.10623325,0.105865934,0.099261561,0.131417517,0.129073587,0.157361515,0.11922494,0.11225948,0.153748266,0.174228235,0.148018969,0.161012602,0.168853139,0.193063462
1055,Overseas Volunteer for a Better India,,,0.191212554,0.049530039,0.059278656,0.063871754,0.072700046,0.080009738,0.072714907,0.091613812,0.09510258,0.094389213,0.104310395,0.10196178,0.090424746,0.094155752,0.109826648,0.103998894,0.101433397,0.117160983,0.138343152,0.127551667,0.151337554,0.165187421,0.146812919,0.147198904
